campaign,zone,production_label,specie,production,yield_value,yield_unit
2024,36,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0",quintal_per_hectare
2025,36,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0",quintal_per_hectare
2021,37,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2022,37,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2023,37,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"71,0",quintal_per_hectare
2024,37,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2025,37,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2021,38,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,0",quintal_per_hectare
2022,38,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"54,0",quintal_per_hectare
2023,38,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0",quintal_per_hectare
2024,38,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0",quintal_per_hectare
2025,38,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2021,39,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2022,39,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0",quintal_per_hectare
2023,39,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0",quintal_per_hectare
2024,39,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2025,39,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,0",quintal_per_hectare
2021,40,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2022,40,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"46,0",quintal_per_hectare
2023,40,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"64,0",quintal_per_hectare
2024,40,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2025,40,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,0",quintal_per_hectare
