department,production_label,specie,production,2021,2022,2023,2024,yield_unit
22,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"37,5","44,7","44,7","44,7",quintal_per_hectare
29,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"29,0","43,6","42,7","45,0",quintal_per_hectare
35,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"44,5","47,2","37,8","45,3",quintal_per_hectare
56,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","48,3","48,4","48,0",quintal_per_hectare
16,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"50,0","47,0","57,0","49,0",quintal_per_hectare
17,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,0","56,0","65,0","54,0",quintal_per_hectare
19,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"40,0","40,0","42,0","46,0",quintal_per_hectare
23,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"54,0","51,0","41,0","30,0",quintal_per_hectare
24,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,0","43,0","47,0","45,0",quintal_per_hectare
33,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"51,0","48,0","53,0","45,0",quintal_per_hectare
40,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","45,0","50,0","45,0",quintal_per_hectare
47,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,0","49,0","52,0","50,0",quintal_per_hectare
64,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"52,0","43,0","45,0","35,0",quintal_per_hectare
79,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"50,0","46,0","60,0","51,0",quintal_per_hectare
86,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"53,0","53,0","62,0","52,0",quintal_per_hectare
87,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"40,0","40,0","54,0","28,0",quintal_per_hectare
09,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"49,0","47,0","42,0","50,0",quintal_per_hectare
11,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"40,0","37,0","40,0","43,0",quintal_per_hectare
12,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,0","30,0","49,0","42,0",quintal_per_hectare
30,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"43,0","40,0","34,0","46,0",quintal_per_hectare
31,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"50,0","45,0","51,0","50,0",quintal_per_hectare
32,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"51,0","47,0","51,0","51,0",quintal_per_hectare
34,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"30,0","34,0","21,0","42,0",quintal_per_hectare
46,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"44,2","42,0","49,0","40,0",quintal_per_hectare
48,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"34,0","18,0","40,0","31,0",quintal_per_hectare
65,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","50,0","46,0","49,0",quintal_per_hectare
66,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"29,0","43,0","10,0","7,0",quintal_per_hectare
81,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","45,0","50,0","48,0",quintal_per_hectare
82,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"47,0","44,0","53,0","46,0",quintal_per_hectare
01,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"42,0","41,0","40,0","40,0",quintal_per_hectare
03,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,0","53,0","55,0","50,0",quintal_per_hectare
07,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","43,0","45,0","43,0",quintal_per_hectare
15,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"43,0","40,0","45,0","43,0",quintal_per_hectare
26,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"65,0","58,5","58,0","53,0",quintal_per_hectare
38,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"54,0","48,0","56,0","53,0",quintal_per_hectare
42,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,0","28,0","38,0","34,0",quintal_per_hectare
43,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"43,0","30,0","47,0","42,0",quintal_per_hectare
63,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"44,0","40,0","50,0","46,0",quintal_per_hectare
69,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"46,0","45,0","57,0","53,0",quintal_per_hectare
73,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,0","50,0","45,0","40,0",quintal_per_hectare
74,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"50,0","45,0","45,0","42,0",quintal_per_hectare
04,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,2","35,4","32,6","42,0",quintal_per_hectare
05,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"41,2","33,7","34,4","48,0",quintal_per_hectare
13,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,0","34,7","36,8","45,1",quintal_per_hectare
