category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Semis,,"Semoir 4 m Cannelures ou ergots gravitaire et à socs Semoir intégré Semoir 3 m intégré mécanique Semoir 3 m intégré pneumatique Semoir 3 m intégré 150 20,8 électrique, trémie 1500 l) 250 13,0 Semoir 3,5 m intégré 150 18,7 à socs 200 14,4 Semoir 3,5 m intégré 175 19,2 électrique) 275 12,7 Semoir 4 m intégré 150 13,9 à socs 250 8,9 Semoir 4 m intégré 120 24,8 à socs 160 19,0 Semoir 4 m intégré 200 18,6 électrique, trémie 1800 l) 300 12,8 Semoir 4,50 m intégré 150 22,2 et à socs 250 13,9 Double caisse préssurisée 1 700 l 300 7,7 trémie frontale double doseur 500 5,2 Barre de semis 6 m intégrée 300 20,7 trémie frontale double doseur 500 13,0 Semoirs pour techniques culturales sans labour Semoirs pour semis simplifi",20600.0,120,30.0,140,26.0,160,23.0,1.8,
Semis,,"Semoir à dents type Cultivateur 4 m, pneumatique",30800.0,200,56.0,300,40.0,400,32.0,2.7,
Semis,,"Semoir à dents type Cultivateur 6 m, pneumatique",46750.0,300,73.3,450,52.4,600,41.9,3.5,
Semis,,"Semoir à dents spécifiques 3 m, pneumatique BARÈME D’ENTRAIDE - HORIZONS - 2026 u 19",42000.0,200,48.9,300,34.4,400,27.2,1.8,
Semis,,"Semoir à dents spécifiques 4 m, pneumatique, repliable",57950.0,350,59.6,450,48.1,550,40.9,2.7,
Semis,,"Semoir à dents spécifiques 6 m, pneumatique, repliable",86900.0,500,80.6,650,64.4,800,54.3,3.5,
Semis,,"Semoir à disques 3 m, avec équipement préparation de sol pneumatique",58000.0,150,85.5,225,58.8,300,45.5,1.8,
Semis,,"Semoir à disques 4 m, avec équipement préparation de sol pneumatique, repliable",89700.0,250,119.7,350,87.8,450,70.1,2.7,
Semis,,"Semoir à disques 6 m, avec équipement préparation de sol pneumatique, repliable",138250.0,400,171.2,500,139.4,600,118.1,4.0,
Semis,,"Semoir à disques 8 m, avec équipement préparation de sol pneumatique, repliable Semoirs pour semis direct et semis direct sous couvert",170200.0,500,232.1,700,170.5,900,136.3,5.5,
Semis,,Houe rotative et semoir 3m genre « Horsch SE »,44000.0,150,56.4,225,40.6,300,32.7,1.4,
Semis,,"Semoir à dents spécifiques 3 m, porté mécanique",29000.0,150,45.5,200,35.5,250,29.4,1.8,
Semis,,"Semoir à dents spécifiques 4 m, porté mécanique",32800.0,200,59.1,250,48.9,300,42.1,2.7,
Semis,,"Semoir à dents spécifiques 6 m, porté pneumatique, repliable",46100.0,300,72.4,375,60.0,450,51.8,3.5,
Semis,,"Semoir à dents spécifiques 4 m, pneumatique, repliable",70000.0,250,95.2,350,70.3,450,56.5,2.7,
Semis,,"Semoir à dents spécifiques 6 m, pneumatique, repliable",103650.0,400,114.9,500,94.1,600,80.1,3.5,
Semis,,"Semoir à dents spécifiques 12 m, pneumatique, repliable",147200.0,500,129.2,600,109.4,700,95.3,3.5,
Semis,,"Semoir à disques 3 m, gravitaire",39380.0,150,59.8,225,41.7,300,32.6,1.8,
Semis,,"Semoir à disques 3 m, pneumatique",62000.0,150,91.1,225,62.5,300,48.2,1.8,
Semis,,"Semoir à disques 4 m, pneumatique, repliable, triple cuve",91175.0,250,121.5,350,89.1,450,71.1,2.7,
Semis,,"Semoir à disques 6 m, pneumatique, repliable, triple cuve u",129250.0,400,160.8,500,131.1,600,111.2,4.0,
Semis,,"Semoir 3 m double caisse, contrôle terrage centralisé, décrotteurs, attelage bras de relevage, freins, 2 x 4 000 l",63000.0,250,76.8,350,56.9,450,45.9,2.4,
Semis,,"Semoir 3 m, 2 caisses, toutes options équipements identiques précédent,",76000.0,250,91.2,350,67.2,450,53.9,2.4,
Semis,,"Semoir 4 m double caisse, contrôle terrage centralisé, décrotteurs, attelage bras de relevage, freins, 2 x 4 000 l",95400.0,400,97.5,500,79.9,600,68.2,3.2,
Semis,,"Semoir 4 m, 2 caisses, toutes options équipements identiques précédent,",105000.0,400,106.3,500,87.0,600,74.1,3.2,
