reference_name,fra,eng,category,nature,specie
sainfoin_crop,Culture de Sainfoin,Sainfoin crop,short_cycle_crop,proteaginous_crop,onobrychis_viciifolia
salsify_crop,Culture de Salsifis,Salsify crop,short_cycle_crop,gardening_crop,tragopogon_porrifolius
savory_crop,Culture de Sariette,Savory crop,short_cycle_crop,crop,satureja
savoy_cabbage_crop,Culture de Chou de Milan,Savoy cabbage crop,short_cycle_crop,gardening_crop,brassica_oleracea_sabauda
secale_crop,Culture de Céréale de genre Secale,Secale crop,short_cycle_crop,cereal_crop,secale
setaria_crop,Culture de Céréale de genre Setaria,Setaria crop,short_cycle_crop,cereal_crop,setaria
shallot_crop,Culture d'Échalote,Shallot crop,short_cycle_crop,gardening_crop,allium_cepa_aggregatum
sorghum_crop,Culture de Sorgho,Sorghum crop,short_cycle_crop,cereal_crop,sorghum
sorrel_crop,Culture d'Oseille,Sorrel crop,short_cycle_crop,crop,rumex
soy_crop,Culture de Soja,Soy crop,short_cycle_crop,oleaginous_crop,glycine_max
speedwell_crop,Culture de Véronique,Speedwell crop,short_cycle_crop,crop,veronica
spelt_crop,Culture d'Épeautre,Spelt crop,short_cycle_crop,cereal_crop,triticum_spelta
spinach_crop,Culture d'Épinard,Spinach crop,short_cycle_crop,gardening_crop,spinacia_oleracea
squash_crop,Culture de Courge musquée,Squash crop,short_cycle_crop,gardening_crop,cucurbita_moschata
st_johns_wort_crop,Culture de Millepertuis,St John's wort crop,short_cycle_crop,crop,hypericum
strawberry_crop,Culture de Fraise,Strawberry crop,short_cycle_crop,fruit_crop,fragaria
sugar_cane_crop,Culture de Canne à sucre,Sugar cane crop,short_cycle_crop,crop,saccharum_officinarum
sugar_pumpkin_crop,Culture de Potiron,Sugar pumpkin crop,short_cycle_crop,gardening_crop,cucurbita_maxima
sunflower_crop,Culture de Tournesol,Sunflower crop,short_cycle_crop,oleaginous_crop,helianthus_annuus
sweet_corn_crop,Culture de Maïs doux,Sweet corn crop,short_cycle_crop,cereal_crop,zea_mays_saccharata
sweet_potato_crop,Culture de Patate douce,Sweet potato crop,short_cycle_crop,gardening_crop,ipomoea_batatas
tarragon_crop,Culture d'Estragon,Tarragon crop,short_cycle_crop,crop,artemisia_dracunculus
thyme_crop,Culture de Thym,Thyme crop,perennial_crop,crop,thymus
timothy_crop,Culture de Fléole,Timothy crop,perennial_crop,crop,phleum
tobacco_crop,Culture de Tabac,Tobacco crop,short_cycle_crop,crop,nicotiana_tabacum
tomato_crop,Culture de Tomate,Tomato crop,short_cycle_crop,gardening_crop,solanum_lycopersicum
triticale_crop,Culture de Triticale,Triticale crop,short_cycle_crop,cereal_crop,x_triticosecale
triticum_crop,Culture de Céréale de genre Triticum,Triticum crop,short_cycle_crop,cereal_crop,triticum
tufted_vetch_crop,Culture de Jarosse,Tufted vetch crop,short_cycle_crop,proteaginous_crop,vicia_cracca
turmeric_crop,Culture de Curcuma,Turmeric crop,short_cycle_crop,crop,curcuma_longa
turnip_crop,Culture de Navet,Turnip crop,short_cycle_crop,gardening_crop,brassica_rapa_rapa
urtica_crop,Culture d'Ortie,Urtica crop,short_cycle_crop,crop,urtica
valerian_crop,Culture de Valériane,Valerian crop,perennial_crop,crop,valeriana
vanilla_crop,Culture de Vanillier,Vanilla crop,perennial_crop,fruit_crop,vanilla
vetiver_crop,Culture de Vétiver,Vetiver crop,short_cycle_crop,crop,chrysopogon
vine_crop,Culture de Vigne,Vine crop,perennial_crop,vine_crop,vitis
walnut_crop,Culture de Noyer,Walnut crop,perennial_crop,fruit_crop,juglans
watercress_crop,Culture de Cresson de fontaine,Watercress crop,short_cycle_crop,gardening_crop,nasturtium_officinale
watermelon_crop,Culture de Pastèque,Watermelon crop,short_cycle_crop,gardening_crop,citrullus_lanatus
white_cabbage_crop,Culture de Chou pommé,White cabbage crop,short_cycle_crop,gardening_crop,brassica_oleracea_capitata
white_pea_crop,Culture de Gesse,White pea crop,short_cycle_crop,proteaginous_crop,lathyrus_sativus
witloof_crop,Culture d'Endive,Witloof crop,short_cycle_crop,gardening_crop,cichorium_intybus_foliosum
yam_crop,Culture d'Igname,Yam crop,short_cycle_crop,gardening_crop,dioscorea
ylang_ylang_crop,Culture de Ylang-ylang,Ylang-ylang crop,perennial_crop,crop,cananga_odorata
zea_crop,Culture de Céréale de genre Zea,Zea crop,short_cycle_crop,cereal_crop,zea
zucchini_crop,Culture de Courgette,Zucchini crop,short_cycle_crop,gardening_crop,cucurbita_pepo_pepo
