Commune 2020;Libellé;Annee;Nb. Contrats
02127;Bruyères-sur-Fère;2018;N/A - secret statistique
02128;Bruyères-et-Montbérault;2018;11
02129;Bruys;2018;N/A - secret statistique
02130;Bucilly;2018;N/A - secret statistique
02131;Bucy-le-Long;2018;270
02132;Bucy-lès-Cerny;2018;N/A - secret statistique
02133;Bucy-lès-Pierrepont;2018;N/A - secret statistique
02134;Buire;2018;12
02135;Buironfosse;2018;14
02136;Burelles;2018;N/A - secret statistique
02137;Bussiares;2018;N/A - secret statistique
02138;Buzancy;2018;0
02139;Caillouël-Crépigny;2018;15
02140;Camelin;2018;N/A - secret statistique
02141;La Capelle;2018;79
02142;Castres;2018;
02143;Le Catelet;2018;11
02144;Caulaincourt;2018;8
02145;Caumont;2018;
02146;Celles-lès-Condé;2018;N/A - secret statistique
02148;Celles-sur-Aisne;2018;N/A - secret statistique
02149;Cerizy;2018;0
02150;Cerny-en-Laonnois;2018;
02151;Cerny-lès-Bucy;2018;0
02152;Cerseuil;2018;N/A - secret statistique
02153;Cessières-Suzy;2018;N/A - secret statistique
02154;Chacrise;2018;N/A - secret statistique
02155;Chaillevois;2018;
02156;Chalandry;2018;0
02157;Chambry;2018;93
02158;Chamouille;2018;8
02159;Champs;2018;N/A - secret statistique
02160;Chaourse;2018;9
02162;La Chapelle-sur-Chézy;2018;11
02163;Charly-sur-Marne;2018;196
02164;Le Charmel;2018;8
02165;Charmes;2018;0
02166;Chartèves;2018;0
02167;Chassemy;2018;N/A - secret statistique
02168;Château-Thierry;2018;108
02169;Châtillon-lès-Sons;2018;0
02170;Châtillon-sur-Oise;2018;
02171;Chaudardes;2018;N/A - secret statistique
02172;Chaudun;2018;12
02173;Chauny;2018;71
02174;Chavignon;2018;N/A - secret statistique
02175;Chavigny;2018;
02176;Chavonne;2018;
02177;Chérêt;2018;
02178;Chermizy-Ailles;2018;
02179;Chéry-Chartreuve;2018;8
02180;Chéry-lès-Pouilly;2018;39
02181;Chéry-lès-Rozoy;2018;
02182;Chevennes;2018;N/A - secret statistique
02183;Chevregny;2018;
02184;Chevresis-Monceau;2018;N/A - secret statistique
02185;Chézy-en-Orxois;2018;N/A - secret statistique
02186;Chézy-sur-Marne;2018;20
02187;Chierry;2018;77
02188;Chigny;2018;0
02189;Chivres-en-Laonnois;2018;N/A - secret statistique
02190;Chivres-Val;2018;
02191;Chivy-lès-Étouvelles;2018;
02192;Chouy;2018;13
02193;Cierges;2018;0
02194;Cilly;2018;N/A - secret statistique
02195;Ciry-Salsogne;2018;
02196;Clacy-et-Thierret;2018;11
02197;Clairfontaine;2018;34
02198;Clamecy;2018;N/A - secret statistique
02199;Clastres;2018;7
02200;Clermont-les-Fermes;2018;14
02201;Cœuvres-et-Valsery;2018;6
02203;Coincy;2018;8
02204;Coingt;2018;N/A - secret statistique
02205;Colligis-Crandelain;2018;
02206;Colonfay;2018;0
02207;Commenchon;2018;
