Commune 2020;Libellé;Annee;retraités non-salariés agricoles;retraités salariés agricoles
02184;Chevresis-Monceau;2019;11;27
02185;Chézy-en-Orxois;2019;9;27
02186;Chézy-sur-Marne;2019;33;105
02187;Chierry;2019;16;69
02188;Chigny;2019;14;14
02189;Chivres-en-Laonnois;2019;8;24
02190;Chivres-Val;2019;N/A - secret statistique;34
02191;Chivy-lès-Étouvelles;2019;8;32
02192;Chouy;2019;8;12
02193;Cierges;2019;N/A - secret statistique;7
02194;Cilly;2019;8;26
02195;Ciry-Salsogne;2019;8;40
02196;Clacy-et-Thierret;2019;N/A - secret statistique;19
02197;Clairfontaine;2019;38;27
02198;Clamecy;2019;N/A - secret statistique;20
02199;Clastres;2019;16;28
02200;Clermont-les-Fermes;2019;N/A - secret statistique;10
02201;Cœuvres-et-Valsery;2019;8;39
02203;Coincy;2019;23;70
02204;Coingt;2019;11;6
02205;Colligis-Crandelain;2019;8;16
02206;Colonfay;2019;9;8
02207;Commenchon;2019;N/A - secret statistique;7
02208;Concevreux;2019;10;14
02209;Condé-en-Brie;2019;22;35
02210;Condé-sur-Aisne;2019;N/A - secret statistique;24
02211;Condé-sur-Suippe;2019;N/A - secret statistique;16
02212;Condren;2019;14;28
02213;Connigis;2019;N/A - secret statistique;16
02214;Contescourt;2019;N/A - secret statistique;N/A - secret statistique
02215;Corbeny;2019;19;47
02216;Corcy;2019;N/A - secret statistique;16
02217;Coucy-le-Château-Auffrique;2019;16;74
02218;Coucy-lès-Eppes;2019;12;44
02219;Coucy-la-Ville;2019;N/A - secret statistique;15
02220;Coulonges-Cohan;2019;14;30
02221;Coupru;2019;6;N/A - secret statistique
02222;Courbes;2019;N/A - secret statistique;N/A - secret statistique
02223;Courboin;2019;12;16
02224;Courcelles-sur-Vesle;2019;N/A - secret statistique;29
02225;Courchamps;2019;8;N/A - secret statistique
02226;Courmelles;2019;N/A - secret statistique;101
02227;Courmont;2019;6;12
02228;Courtemont-Varennes;2019;8;21
02229;Courtrizy-et-Fussigny;2019;N/A - secret statistique;0
02230;Couvrelles;2019;N/A - secret statistique;8
02231;Couvron-et-Aumencourt;2019;6;45
02232;Coyolles;2019;0;7
02233;Cramaille;2019;N/A - secret statistique;N/A - secret statistique
02234;Craonne;2019;N/A - secret statistique;N/A - secret statistique
02235;Craonnelle;2019;N/A - secret statistique;8
02236;Crécy-au-Mont;2019;N/A - secret statistique;20
02237;Crécy-sur-Serre;2019;32;151
02238;Crépy;2019;13;111
02239;Crézancy;2019;9;66
02240;Croix-Fonsomme;2019;7;12
02241;La Croix-sur-Ourcq;2019;N/A - secret statistique;N/A - secret statistique
02242;Crouttes-sur-Marne;2019;29;35
02243;Crouy;2019;11;163
02244;Crupilly;2019;N/A - secret statistique;0
02245;Cuffies;2019;6;78
02246;Cugny;2019;18;30
02248;Cuirieux;2019;6;16
02249;Cuiry-Housse;2019;0;14
02250;Cuiry-lès-Chaudardes;2019;N/A - secret statistique;N/A - secret statistique
02251;Cuiry-lès-Iviers;2019;N/A - secret statistique;N/A - secret statistique
02252;Cuissy-et-Geny;2019;0;N/A - secret statistique
02253;Cuisy-en-Almont;2019;6;27
02254;Cutry;2019;N/A - secret statistique;N/A - secret statistique
02255;Cys-la-Commune;2019;N/A - secret statistique;11
02256;Dagny-Lambercy;2019;12;10
02257;Dallon;2019;6;17
02258;Dammard;2019;N/A - secret statistique;35
02259;Dampleux;2019;N/A - secret statistique;12
02260;Danizy;2019;6;32
02261;Dercy;2019;13;31
02262;Deuillet;2019;10;6
02263;Dhuizel;2019;N/A - secret statistique;8
02264;Dizy-le-Gros;2019;23;80
02265;Dohis;2019;17;6
02266;Dolignon;2019;9;N/A - secret statistique
02267;Dommiers;2019;N/A - secret statistique;8
02268;Domptin;2019;12;25
02269;Dorengt;2019;10;8
02270;Douchy;2019;N/A - secret statistique;13
02271;Dravegny;2019;N/A - secret statistique;12
02272;Droizy;2019;N/A - secret statistique;N/A - secret statistique
02273;Dury;2019;N/A - secret statistique;23
02274;Ébouleau;2019;7;15
02275;Effry;2019;7;14
02276;Englancourt;2019;7;N/A - secret statistique
02277;Épagny;2019;N/A - secret statistique;37
02278;Éparcy;2019;N/A - secret statistique;N/A - secret statistique
02279;Épaux-Bézu;2019;13;24
02280;Épieds;2019;8;20
02281;L'Épine-aux-Bois;2019;N/A - secret statistique;11
02282;Eppes;2019;7;20
02283;Erlon;2019;N/A - secret statistique;22
02284;Erloy;2019;12;9
02286;Esquéhéries;2019;61;75
02287;Essigny-le-Grand;2019;11;60
02288;Essigny-le-Petit;2019;6;16
02289;Essises;2019;10;22
02290;Essômes-sur-Marne;2019;68;132
02291;Estrées;2019;14;21
02292;Étampes-sur-Marne;2019;11;83
02293;Étaves-et-Bocquiaux;2019;7;35
